Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 91
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00112464  position[mm]: (123.295,81.3765,-773.83)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0103329  position[mm]: (125.553,82.9961,-745.214)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00441504  position[mm]: (126.288,83.55,-735.855)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00393379  position[mm]: (127.547,84.5233,-719.611)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00594356  position[mm]: (129.222,85.8991,-697.104)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0128949  position[mm]: (132.212,88.3968,-657.764)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0160195  position[mm]: (136.507,92.0453,-600)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00248858  position[mm]: (180.684,130.416,10.8316)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 9.78383e-05  position[mm]: (180.706,130.435,11.1419)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0234708  position[mm]: (185.01,134.127,71.4574)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00333768  position[mm]: (185.931,134.869,84.121)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00533543  position[mm]: (187.699,136.348,108.685)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00274914  position[mm]: (188.409,136.922,118.317)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00556072  position[mm]: (190.024,138.229,140.183)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0127537  position[mm]: (192.634,140.349,175.635)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00793882  position[mm]: (194.369,141.792,200)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00627394  position[mm]: (238.858,179.268,833.561)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0241586  position[mm]: (242.782,182.354,887.885)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0265789  position[mm]: (248.471,186.611,966.083)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00286298  position[mm]: (249.105,187.083,974.576)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00836385  position[mm]: (250.996,188.466,1000)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00386526  position[mm]: (297.074,221.323,1610.16)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00183234  position[mm]: (297.286,221.477,1612.97)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.000425708  position[mm]: (297.668,221.758,1618.04)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0343706  position[mm]: (304.562,226.822,1709.53)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00231505  position[mm]: (305.271,227.378,1719.44)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0200228  position[mm]: (308.943,230.275,1770.9)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00273074  position[mm]: (309.393,230.598,1776.92)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00565469  position[mm]: (311.127,231.859,1800)
  trackID: 69  chamberNb: 4  energy deposit[MeV]: 0.00199367  position[mm]: (309.385,230.588,1776.92)
  trackID: 68  chamberNb: 4  energy deposit[MeV]: 0.00431125  position[mm]: (308.947,230.237,1770.91)
  trackID: 67  chamberNb: 4  energy deposit[MeV]: 0.00152901  position[mm]: (305.27,227.368,1719.44)
  trackID: 66  chamberNb: 4  energy deposit[MeV]: 0.00510248  position[mm]: (304.607,226.841,1709.53)
  trackID: 65  chamberNb: 4  energy deposit[MeV]: 0.00266955  position[mm]: (297.681,221.742,1618.04)
  trackID: 64  chamberNb: 4  energy deposit[MeV]: 0.00185371  position[mm]: (297.274,221.476,1612.97)
  trackID: 63  chamberNb: 4  energy deposit[MeV]: 0.00318337  position[mm]: (297.079,221.347,1610.16)
  trackID: 56  chamberNb: 3  energy deposit[MeV]: 0.00231707  position[mm]: (249.096,187.096,974.577)
  trackID: 55  chamberNb: 3  energy deposit[MeV]: 0.00196174  position[mm]: (248.483,186.615,966.083)
  trackID: 54  chamberNb: 3  energy deposit[MeV]: 0.00183093  position[mm]: (242.788,182.365,887.885)
  trackID: 53  chamberNb: 3  energy deposit[MeV]: 0.00237886  position[mm]: (238.864,179.252,833.562)
  trackID: 41  chamberNb: 2  energy deposit[MeV]: 0.00217539  position[mm]: (192.364,140.033,175.742)
  trackID: 41  chamberNb: 2  energy deposit[MeV]: 3.48743e-05  position[mm]: (192.349,139.994,175.704)
  trackID: 41  chamberNb: 2  energy deposit[MeV]: 0.00652366  position[mm]: (192.404,139.718,175.521)
  trackID: 41  chamberNb: 2  energy deposit[MeV]: 0.00567698  position[mm]: (192.558,139.765,175.473)
