Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

275   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	62	0x1.6eda1cf4d80e3p-10	158	0x1.932064ebfb154p+5	1	36556168	gamma	gamma electron 
279   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	67	0x1.8dd5d4acf2996p-17	54	0x1.8ff72f07f6779p+5	1	36556168	gamma	gamma electron 
280   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	58	0x1.13a6b0a436bfbp-17	62	0x1.3609ddf5c9488p+5	1	36556168	gamma	gamma electron 
286   	0x1.eb851eb851eb9p-5	0x1.a6754a2ef83b1p-7	12	0x1.994f962dbe384p-17	16	0x1.7c8998ab91fafp+5	1	36556168	gamma	gamma electron 
289   	0x1.eb851eb851eb9p-5	0x1.abf9830e3cd9cp-6	26	0x1.530cf10c4b54ap-9	28	0x1.609de6c445bcap+5	1	36556168	gamma	gamma electron 
291   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	66	0x1.e475b479747dbp-18	55	0x1.c87aa95a2b0a8p+5	1	36556168	gamma	gamma electron 
295   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	52	0x1.080ec9c3f4e1p-17	53	0x1.7cf72e8c9df8cp+5	1	36556168	gamma	gamma electron 
298   	0x1.eb851eb851eb9p-5	0x1.b11622813447fp-6	53	0x1.70ed4c4e3bd43p-17	23	0x1.a92a233fa23b1p+5	1	36556168	gamma	gamma electron 
300   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	57	0x1.8819d3980aa0ep-18	63	0x1.841e153175b38p+5	1	36556168	gamma	gamma electron 
301   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcbp-6	27	0x1.a84192ba88a5p-17	31	0x1.2891b7dba90fep+5	1	36556168	gamma	gamma electron 
302   	0x1.eb851eb851eb9p-5	0x1.583083388572fp-6	48	0x1.73d777d55eebbp-13	25	0x1.0b52cad8f56bap+6	1	36556168	e-	electron 
305   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	62	0x1.caee881198b82p-18	62	0x1.89b7a1f5f206bp+5	1	36556168	gamma	gamma electron 
307   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	46	0x1.42b134174078cp-10	50	0x1.9a667b5a5873bp+5	1	36556168	gamma	gamma electron 
311   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	64	0x1.123964473abbdp-17	64	0x1.7c763517be401p+5	1	36556168	gamma	gamma electron 
312   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	54	0x1.0053be4e2f9bep-9	160	0x1.42124a50616ccp+5	1	36556168	gamma	gamma electron 
313   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	73	0x1.359ce4cc5617dp-17	52	0x1.812d764ffd027p+5	1	36556168	gamma	gamma electron 
318   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	59	0x1.0b91e1d2d04cep-9	57	0x1.4843b6dafbbaap+5	1	36556168	gamma	gamma electron 
321   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	23	0x1.5f0216bb1c8a1p-17	23	0x1.102e167cd4888p+6	1	36556168	gamma	gamma electron 
322   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	52	0x1.6a82c33bfbebp-18	61	0x1.6a1daf73605ecp+5	1	36556168	gamma	gamma electron 
324   	0x1.eb851eb851eb9p-5	0x1.be85e22cb0623p-7	9	0x1.01e80215181f1p-14	20	0x1.e4ef73af822aep+4	1	36556168	gamma	gamma electron 
326   	0x1.eb851eb851eb9p-5	0x1.1488e6b28d23bp-5	33	0x1.982e68600d612p-10	90	0x1.910abedecda35p+5	1	36556168	gamma	gamma electron 
329   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	66	0x1.76a87a3fd9172p-18	52	0x1.b047ff5fb371ep+5	1	36556168	gamma	gamma electron 
330   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcep-6	25	0x1.5d01a3773b458p-18	29	0x1.4c4cfd4aac6c9p+5	1	36556168	gamma	gamma electron 
334   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	56	0x1.662dd376e5416p-18	68	0x1.4f4482ac90251p+5	1	36556168	gamma	gamma electron 
335   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91933p-6	23	0x1.2300dad11e081p-9	39	0x1.7d72c717a000cp+5	1	36556168	gamma	gamma electron 
336   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	53	0x1.6fda712a5265ep-18	70	0x1.9591659a4eecp+5	1	36556168	gamma	gamma electron 
339   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcfp-6	22	0x1.7dab796ed2413p-17	29	0x1.7d244f849f4a9p+5	1	36556168	gamma	gamma electron 
340   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	40	0x1.88f177c2da1e3p-17	67	0x1.83fa8197eaa6bp+5	1	36556168	gamma	gamma electron 
342   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	55	0x1.768b04039366p-18	60	0x1.1b0891938f5ebp+5	1	36556168	gamma	gamma electron 
345   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91933p-6	26	0x1.b200419996fabp-17	31	0x1.93bd15845d99fp+5	1	36556168	gamma	gamma electron 
353   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91936p-6	35	0x1.ec024445038fdp-16	34	0x1.667c2bd1dfb77p+5	1	36556168	gamma	gamma electron 
354   	0x1.eb851eb851eb9p-5	0x1.a34ca0c282c6fp-6	26	0x1.36742e312c36dp-14	30	0x1.46b556464bce3p+5	1	36556168	gamma	gamma electron 
359   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	47	0x1.724f90690aeb5p-18	46	0x1.a65b90375cffp+5	1	36556168	gamma	gamma electron 
363   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	64	0x1.784b62dcc539fp-18	47	0x1.29386a086e305p+5	1	36556168	gamma	gamma electron 
364   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	64	0x1.59a2c77d189c1p-18	57	0x1.a018682d16e0ap+5	1	36556168	gamma	gamma electron 
366   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91937p-6	51	0x1.77a5020624f91p-16	30	0x1.be75ea9d13a78p+5	1	36556168	gamma	gamma electron 
